Table 1
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;United Nations;;;;;;;;;
;;;;Population Division;;;;;;;;;
;;;;Department of Economic and Social Affairs;;;;;;;;;
;;;;;;;;;;;;;
Workbook: UN_MigrantStockByOriginAndDestination_2017;;;;;;;;;;;; ; 
;;;;ANNEX. Classification of countries and areas by major area and region;;;;;;;;;
;;;;;;;;;;;;;
;;;;December 2017 - Copyright © 2017 by United Nations. All rights reserved;;;;;;;;;
Suggested citation: United Nations, Department of Economic and Social Affairs. Population Division (2017). Trends in International Migrant Stock: The 2017 revision (United Nations database, POP/DB/MIG/Stock/Rev.2017).;;;;;;;;;;;;; 
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Index;Region, subregion, country or area;Notes;Code;More Developed Regions;Less Developed Regions;Least developed countries;High-income Countries;Middle-income Countries;Upper-middle-income Countries;Lower-middle-income Countries;Low-income Countries;Sub-Saharan Africa;
206;Saint Kitts and Nevis;;659;N;Y;N;Y;N;N;N;N;N;
207;Saint Lucia;;662;N;Y;N;N;Y;Y;N;N;N;
208;Saint Vincent and the Grenadines;;670;N;Y;N;N;Y;Y;N;N;N;
209;Sint Maarten (Dutch part);;534;N;Y;N;Y;N;N;N;N;N;
210;Trinidad and Tobago;;780;N;Y;N;Y;N;N;N;N;N;
211;Turks and Caicos Islands;;796;N;Y;N;Y;N;N;N;N;N;
212;United States Virgin Islands;;850;N;Y;N;Y;N;N;N;N;N;
213;Central America;;916;;;;;;;;;;
214;Belize;;84;N;Y;N;N;Y;Y;N;N;N;
215;Costa Rica;;188;N;Y;N;N;Y;Y;N;N;N;
216;El Salvador;;222;N;Y;N;N;Y;N;Y;N;N;
217;Guatemala;;320;N;Y;N;N;Y;N;Y;N;N;
218;Honduras;;340;N;Y;N;N;Y;N;Y;N;N;
219;Mexico;;484;N;Y;N;N;Y;Y;N;N;N;
220;Nicaragua;;558;N;Y;N;N;Y;N;Y;N;N;
221;Panama;;591;N;Y;N;N;Y;Y;N;N;N;
222;South America;;931;;;;;;;;;;
223;Argentina;;32;N;Y;N;N;Y;Y;N;N;N;
224;Bolivia (Plurinational State of);;68;N;Y;N;N;Y;N;Y;N;N;
225;Brazil;;76;N;Y;N;N;Y;Y;N;N;N;
226;Chile;;152;N;Y;N;Y;N;N;N;N;N;
227;Colombia;;170;N;Y;N;N;Y;Y;N;N;N;
228;Ecuador;;218;N;Y;N;N;Y;Y;N;N;N;
229;Falkland Islands (Malvinas);;238;N;Y;N;N/A;N/A;N/A;N/A;N/A;N;
230;French Guiana;;254;N;Y;N;N/A;N/A;N/A;N/A;N/A;N;
231;Guyana;;328;N;Y;N;N;Y;Y;N;N;N;
232;Paraguay;;600;N;Y;N;N;Y;Y;N;N;N;
233;Peru;;604;N;Y;N;N;Y;Y;N;N;N;
234;Suriname;;740;N;Y;N;N;Y;Y;N;N;N;
235;Uruguay;;858;N;Y;N;Y;N;N;N;N;N;
236;Venezuela (Bolivarian Republic of);;862;N;Y;N;N;Y;Y;N;N;N;
237;NORTHERN AMERICA;;905;;;;;;;;;;
238;Bermuda;;60;Y;N;N;Y;N;N;N;N;N;
239;Canada;;124;Y;N;N;Y;N;N;N;N;N;
240;Greenland;;304;Y;N;N;Y;N;N;N;N;N;
241;Saint Pierre and Miquelon;;666;Y;N;N;N/A;N/A;N/A;N/A;N/A;N;
242;United States of America;;840;Y;N;N;Y;N;N;N;N;N;
243;OCEANIA;;909;;;;;;;;;;
244;Australia/New Zealand;;927;;;;;;;;;;
245;Australia;24;36;Y;N;N;Y;N;N;N;N;N;
246;New Zealand;;554;Y;N;N;Y;N;N;N;N;N;
247;Melanesia;;928;;;;;;;;;;
248;Fiji;;242;N;Y;N;N;Y;Y;N;N;N;
249;New Caledonia;;540;N;Y;N;Y;N;N;N;N;N;
250;Papua New Guinea;;598;N;Y;N;N;Y;N;Y;N;N;
251;Solomon Islands;;90;N;Y;Y;N;Y;N;Y;N;N;
252;Vanuatu;;548;N;Y;Y;N;Y;N;Y;N;N;
253;Micronesia;;954;;;;;;;;;;
254;Guam;;316;N;Y;N;Y;N;N;N;N;N;
255;Kiribati;;296;N;Y;Y;N;Y;N;Y;N;N;
256;Marshall Islands;;584;N;Y;N;N;Y;Y;N;N;N;
257;Micronesia (Fed. States of);;583;N;Y;N;N;Y;N;Y;N;N;
258;Nauru;;520;N;Y;N;N;Y;Y;N;N;N;
259;Northern Mariana Islands;;580;N;Y;N;Y;N;N;N;N;N;
260;Palau;;585;N;Y;N;Y;N;N;N;N;N;
261;Polynesia;25;957;;;;;;;;;;
262;American Samoa;;16;N;Y;N;N;Y;Y;N;N;N;
263;Cook Islands;;184;N;Y;N;N/A;N/A;N/A;N/A;N/A;N;
264;French Polynesia;;258;N;Y;N;Y;N;N;N;N;N;
265;Niue;;570;N;Y;N;N/A;N/A;N/A;N/A;N/A;N;
266;Samoa;;882;N;Y;N;N;Y;Y;N;N;N;
267;Tokelau;;772;N;Y;N;N/A;N/A;N/A;N/A;N/A;N;
268;Tonga;;776;N;Y;N;N;Y;Y;N;N;N;
269;Tuvalu;;798;N;Y;Y;N;Y;Y;N;N;N;
270;Wallis and Futuna Islands;;876;N;Y;N;N/A;N/A;N/A;N/A;N/A;N;
